date, pm25, pm10, o3, no2, so2, co
2019/9/10, 68, 43, 65, 18, 3, 5
2019/9/11, 77, 51, 100, 27, 3, 6
2019/9/12, 97, 36, 69, 15, 3, 5
2019/9/13, 72, 32, 48, 18, 3, 5
2019/9/14, 79, 44, 81, 22, 4, 8
2019/9/15, 93, 43, 91, 22, 3, 6
2019/9/16, 99, 50, 80, 27, 3, 8
2019/9/17, 105, 56, 111, 21, 3, 7
2019/9/18, 112, 50, 93, 10, 2, 6
2019/9/19, 101, 57, 93, 18, 4, 5
2019/9/20, 95, 60, 97, 21, 4, 5
2019/9/21, 100, 51, 77, 11, 5, 4
2019/9/22, 85, 59, 92, 17, 4, 5
2019/9/23, 98, 65, 53, 25, 4, 7
2019/9/24, 126, 76, , 24, 4, 6
2019/9/25, 142, 64, , 19, 4, 6
2019/9/26, 139, 69, , 19, 3, 6
2019/9/27, 139, 79, , 22, 3, 7
2019/9/28, 147, 75, 142, 28, 4, 8
2019/9/29, 154, 83, 138, 34, 4, 9
2019/9/30, 161, 79, 160, 28, 6, 10
2019/4/1, 114, 39, 67, 15, 2, 6
2019/4/2, 72, 53, 67, 22, 3, 6
2019/4/3, 106, 44, 52, 19, 2, 5
2019/4/4, 81, 70, 102, 29, 3, 7
2019/4/5, 145, 64, 66, 36, 3, 8
2019/4/6, 151, 39, 38, 24, 3, 6
2019/4/7, 80, 32, 26, 20, 3, 5
2019/4/8, 66, 30, 31, 13, 3, 5
2019/4/9, 72, 41, 30, 21, 2, 5
2019/4/10, 80, 38, 29, 19, 3, 5
2019/4/11, 79, 27, 60, 19, 2, 7
2019/4/12, 69, 37, 46, 18, 2, 6
2019/4/13, 85, 44, 39, 20, 2, 6
2019/4/14, 102, 49, 84, 17, 2, 6
2019/4/15, 114, 44, 59, 25, 2, 7
2019/4/16, 90, 57, 73, 31, 2, 9
2019/4/17, 107, 43, 59, 21, 2, 8
2019/4/18, 91, 35, 55, 22, 2, 7
2019/4/19, 73, 27, 46, 21, 2, 5
2019/4/20, 59, 42, 26, 25, 2, 7
2019/4/21, 76, 39, 29, 16, 2, 5
2019/4/22, 68, 43, 34, 16, 2, 8
2019/4/23, 86, 37, 32, 16, 3, 5
2019/4/24, 79, 39, 35, 16, 2, 5
2019/4/25, 88, 45, 37, 20, 2, 6
2019/4/26, 94, 45, 53, 17, 2, 6
2019/4/27, 85, 38, 50, 13, 2, 6
2019/4/28, 68, 39, 41, 15, 3, 6
2019/4/29, 77, 43, 55, 22, 2, 6
2019/4/30, 87, 66, 47, 23, 3, 8
2019/5/1, 97, 50, 40, 16, 2, 8
2019/5/2, 87, 52, 66, 17, 2, 7
2019/5/3, 104, 43, 58, 16, 2, 4
2019/5/4, 71, 37, 48, 19, 2, 5
2019/5/5, 93, 27, 41, 21, 1, 6
2019/5/6, 67, 24, 45, 21, 2, 5
2019/5/7, 56, 35, 45, 23, 2, 5
2019/5/8, 79, 41, 59, 35, 2, 7
2019/5/9, 79, 57, 65, 42, 2, 7
2019/5/10, 103, 62, 123, 27, 2, 7
2019/5/11, 118, 40, 59, 17, 2, 5
2019/5/12, 72, 50, 46, 15, 1, 5
2019/5/13, 102, 34, 35, 17, 2, 5
2019/5/14, 83, 32, 25, 19, 2, 5
2019/5/15, 74, 40, 31, 14, 2, 5
2019/5/16, 81, 36, 33, 11, 2, 5
2019/5/17, 70, 35, 35, 5, 2, 5
2019/5/18, 72, 54, 38, 7, 2, 5
2019/5/19, 73, 51, 47, 21, 2, 5
2019/5/20, 82, 43, 73, 14, 2, 6
2019/5/21, 94, 49, 71, 21, 2, 5
2019/5/22, 92, 47, 63, 14, 2, 7
2019/5/23, 99, 40, 59, 14, 2, 8
2019/5/24, 93, 31, 46, 15, 2, 7
2019/5/25, 65, 34, 27, 15, 2, 7
2019/5/26, 60, 27, 25, 21, 2, 7
2019/5/27, 53, 30, 30, 24, 3, 6
2019/5/28, 60, 27, 42, 13, 2, 6
2019/5/29, 62, 35, 48, 16, 2, 7
2019/5/30, 66, 35, 40, 20, 2, 7
2019/5/31, 90, 26, 32, 21, 2, 7
2019/6/1, 70, 21, 29, 18, 2, 6
2019/6/2, 61, 31, 36, 18, 2, 8
2019/6/3, 61, 36, 32, 22, 2, 12
2019/6/4, 77, 30, 28, 19, 2, 6
2019/6/5, 62, 25, 34, 14, 2, 5
2019/6/6, 57, 19, 37, 18, 2, 5
2019/6/7, 56, 22, 31, 10, 3, 5
2019/6/8, 52, 20, 27, 8, 3, 5
2019/6/9, 50, 25, 29, 12, 2, 6
2019/6/10, 60, 22, 28, 29, 2, 7
2019/6/11, 65, 34, 39, 24, 3, 7
2019/6/12, 78, 22, 40, 20, 2, 6
2019/6/13, 57, 27, 84, 18, 2, 8
2019/6/14, 72, 29, 67, 10, 3, 6
2019/6/15, 68, 36, 67, 3, 2, 6
2019/6/16, 80, 30, 60, 5, 3, 6
2019/6/17, 64, 19, 27, 15, 2, 6
2019/6/18, 55, 29, 24, 18, 2, 6
2019/6/19, 69, 27, 20, 13, 3, 5
2019/6/20, 57, 21, , 10, 2, 4
2019/6/21, 47, 21, , 10, 2, 4
2019/6/22, 47, 22, , 11, 2, 5
2019/6/23, 43, 24, 21, 17, 2, 5
2019/6/24, 56, 28, 34, 22, 2, 6
2019/6/25, 67, 28, 31, 25, 3, 6
2019/6/26, 70, 28, 32, 20, 2, 6
2019/6/27, 62, 32, 24, 17, 3, 5
2019/6/28, 66, 26, 33, 14, 2, 6
2019/6/29, 53, 34, 37, 16, 3, 6
2019/6/30, 66, 26, 35, 11, 2, 6
2019/1/1, 105, 48, 18, 20, 4, 8
2019/1/2, 95, 55, 11, 24, 3, 9
2019/1/3, 111, 82, 23, 38, 5, 11
2019/1/4, 165, 104, 14, 48, 5, 12
2019/1/5, 178, 57, 11, 27, 5, 10
2019/1/6, 109, 85, 27, 42, 5, 10
2019/1/7, 139, 76, 18, 30, 4, 10
2019/1/8, 130, 65, 39, 29, 4, 9
2019/1/9, 117, 81, 40, 34, 4, 9
2019/1/10, 146, 98, 35, 59, 5, 11
2019/1/11, 173, 115, 37, 64, 6, 14
2019/1/12, 179, 64, 38, 32, 4, 9
2019/1/13, 137, 62, 36, 29, 4, 9
2019/1/14, 127, 65, 33, 27, 4, 10
2019/1/15, 146, 48, 23, 21, 5, 10
2019/1/16, 89, 56, 47, 21, 4, 12
2019/1/17, 107, 58, 26, 27, 4, 11
2019/1/18, 106, 70, 46, 30, 4, 9
2019/1/19, 128, 77, 71, 27, 4, 7
2019/1/20, 135, 53, 39, 15, 3, 9
2019/1/21, 101, 80, 52, 18, 4, 9
2019/1/22, 156, 77, 57, 34, 5, 9
2019/1/23, 154, 88, 58, 38, 5, 9
2019/1/24, 160, 83, 57, 43, 5, 8
2019/1/25, 155, 71, 57, 19, 5, 9
2019/1/26, 144, 72, 61, 10, 5, 7
2019/1/27, 146, 51, 42, 24, 4, 5
2019/1/28, 97, 55, 49, 20, 5, 6
2019/1/29, 112, 50, 44, 15, 3, 6
2019/1/30, 96, 50, 52, 13, 4, 6
2019/1/31, 98, 37, 34, 13, 3, 9
2019/2/1, 83, 47, 42, 10, 5, 7
2019/2/2, 92, 49, 38, 21, 3, 6
2019/2/3, 99, 54, 52, 14, 3, 7
2019/2/4, 95, 43, 37, 8, 3, 8
2019/2/5, 99, 50, 38, 16, 4, 7
2019/2/6, 123, 30, 28, 16, 4, 6
2019/2/7, 78, 33, 31, 18, 3, 5
2019/2/8, 86, 39, 32, 17, 4, 5
2019/2/9, 77, 23, 32, 20, 3, 4
2019/2/10, 58, 25, 23, 16, 3, 6
2019/2/11, 64, 33, 33, 18, 3, 6
2019/2/12, 76, 41, 37, 26, 4, 6
2019/2/13, 106, 29, 36, 12, 3, 5
2019/2/14, 73, 26, 31, 18, 3, 5
2019/2/15, 64, 29, 34, 11, 4, 5
2019/2/16, 65, 25, 36, 8, 3, 5
2019/2/17, 54, 23, 30, 18, 2, 7
2019/2/18, 65, 18, 21, 12, 2, 6
2019/2/19, 60, 39, 25, 13, 2, 6
2019/2/20, 92, 33, 31, 18, 2, 6
2019/2/21, 84, 35, 42, 19, 4, 10
2019/2/22, 82, 35, 31, 19, 2, 9
2019/2/23, 86, 24, 18, 15, 1, 10
2019/2/24, 60, 37, 8, 9, 2, 8
2019/2/25, 81, 54, 39, 11, 2, 7
2019/2/26, 110, 49, 38, 16, 2, 6
2019/2/27, 105, 50, 37, 22, 2, 6
2019/2/28, 106, 32, 41, 15, 2, 7
2019/3/1, 85, 38, 43, 14, 2, 7
2019/3/2, 78, 46, 48, 25, 2, 7
2019/3/3, 103, 38, 39, 20, 2, 7
2019/3/4, 89, 38, 38, 20, 3, 8
2019/3/5, 86, 28, 23, 14, 2, 7
2019/3/6, 78, 21, 17, 18, 2, 9
2019/3/7, 56, 27, 43, 16, 3, 8
2019/3/8, 95, 34, 37, 25, 2, 7
2019/3/9, 96, 34, 23, 23, 2, 8
2019/3/10, 84, 47, 62, 21, 2, 8
2019/3/11, 116, 64, 77, 30, 3, 8
2019/3/12, 120, 60, 85, 29, 3, 6
2019/3/13, 113, 64, 63, 24, 2, 6
2019/3/14, 116, 51, 50, 22, 3, 7
2019/3/15, 112, 52, 65, 23, 3, 6
2019/3/16, 102, 57, 79, 22, 2, 6
2019/3/17, 105, 61, 64, 33, 3, 6
2019/3/18, 132, 57, 48, 29, 2, 6
2019/3/19, 119, 56, 46, 19, 2, 6
2019/3/20, 126, 41, 30, 20, 2, 7
2019/3/21, 95, 40, 26, 22, 2, 6
2019/3/22, 79, 34, 34, 16, 1, 7
2019/3/23, 73, 33, 42, 18, 2, 7
2019/3/24, 75, 46, 33, 25, 2, 8
2019/3/25, 117, 60, 59, 23, 3, 9
2019/3/26, 126, 48, 49, 23, 2, 6
2019/3/27, 92, 53, 39, 29, 3, 6
2019/3/28, 101, 43, 23, 23, 2, 6
2019/3/29, 86, 44, 50, 19, 3, 7
2019/3/30, 110, 43, 72, 14, 5, 6
2019/3/31, 92, 62, 55, 21, 2, 7
2018/10/1, 132, 68, 92, 18, 6, 6
2018/10/2, 123, 68, 94, 18, 6, 6
2018/10/3, 124, 67, 90, 27, 6, 6
2018/10/4, 124, 62, 97, 22, 7, 5
2018/10/5, 114, 63, 110, 26, 8, 5
2018/10/6, 121, 81, 105, 24, 6, 6
2018/10/7, 145, 69, 95, 20, 6, 6
2018/10/8, 137, 64, 65, 24, 6, 6
2018/10/9, 128, 77, 39, 26, 6, 7
2018/10/10, 159, 43, 40, 20, 4, 7
2018/10/11, 93, 53, 49, 20, 5, 6
2018/10/12, 108, 57, 66, 25, 5, 6
2018/10/13, 108, 52, 47, 17, 5, 5
2018/10/14, 87, 50, 47, 19, 5, 5
