date, pm25, pm10, o3, no2, so2, co
2019/5/27, 25, 42, , 18, 3, 2
2019/5/28, 62, 67, , 15, 6, 5
2019/5/29, 115, 48, , 9, 3, 3
2019/5/30, 53, 33, , 11, 1, 1
2019/5/31, 31, 59, , 18, 5, 5
2019/6/1, 86, 72, , 14, 6, 8
2019/6/2, 110, 62, , 12, 4, 7
2019/6/3, 92, 59, , 15, 5, 7
2019/6/4, 126, 69, , 20, 4, 11
2019/6/5, 154, 63, , 19, 2, 10
2019/6/6, 148, 52, , 13, 2, 6
2019/6/7, 123, 55, , 11, 2, 5
2019/6/8, 103, 38, , 8, 2, 5
2019/6/9, 74, 48, , 11, 4, 7
2019/6/10, 89, 39, , 10, 3, 7
2019/6/11, 66, 67, , 17, 3, 8
2019/6/12, 93, 60, , 14, 3, 12
2019/6/13, 90, 66, , 19, 3, 17
2019/6/14, 159, 42, , 11, 4, 8
2019/6/15, 97, 23, , 9, 2, 5
2019/6/16, 46, 49, , 16, 5, 8
2019/6/17, 105, 66, , 16, 3, 9
2019/6/18, 117, 51, , 12, 2, 11
2019/6/19, 147, 72, , 15, 2, 10
2019/6/20, 163, 46, , 11, 2, 8
2019/6/21, 111, 34, , 15, 2, 6
2019/6/22, 51, 49, , 13, 4, 6
2019/6/23, 79, 57, , 14, 6, 7
2019/6/24, 98, 66, , 11, 3, 7
2019/6/25, 101, 55, , 11, 8, 5
2019/6/26, 88, 56, , 11, 3, 6
2019/6/27, 105, 52, , 11, 3, 6
2019/6/28, 100, 42, , 9, 4, 6
2019/6/29, 108, 33, , 10, 4, 4
2019/6/30, 39, 38, , 11, 5, 6
2019/1/1, 135, 71, , 36, 11, 11
2019/1/2, 155, 90, , 44, 19, 15
2019/1/3, 190, 40, , 22, 6, 7
2019/1/4, 84, 31, , 22, 4, 7
2019/1/5, 53, 57, , 37, 13, 13
2019/1/6, 130, 55, , 30, 8, 10
2019/1/7, 110, 29, , 16, 3, 4
2019/1/8, 49, 49, , 26, 10, 7
2019/1/9, 106, 96, , 35, 17, 14
2019/1/10, 173, 141, , 42, 14, 22
2019/1/11, 274, 150, , 31, 7, 21
2019/1/12, 299, 179, , 46, 5, 30
2019/1/13, 321, 170, , 38, 8, 23
2019/1/14, 269, 46, , 11, 3, 4
2019/1/15, 32, 75, , 28, 13, 12
2019/1/16, 138, 97, , 43, 19, 19
2019/1/17, 171, 101, , 45, 21, 20
2019/1/18, 182, 62, , 29, 9, 17
2019/1/19, 119, 35, , 16, 3, 10
2019/1/20, 65, 73, , 31, 11, 15
2019/1/21, 148, 85, , 40, 18, 17
2019/1/22, 170, 53, , 32, 7, 15
2019/1/23, 108, 61, , 31, 7, 14
2019/1/24, 129, 42, , 19, 5, 6
2019/1/25, 78, 39, , 21, 6, 8
2019/1/26, 77, 84, , 30, 11, 11
2019/1/27, 170, 42, , 16, 4, 6
2019/1/28, 80, 90, , 35, 17, 17
2019/1/29, 173, 85, , 23, 7, 11
2019/1/30, 133, 36, , 11, 5, 6
2019/1/31, 69, 89, , 21, 10, 11
2019/2/1, 163, 95, , 22, 7, 16
2019/2/2, 187, 110, , 12, 3, 10
2019/2/3, 132, 118, , 15, 10, 13
2019/2/4, 150, 148, , 17, 9, 18
2019/2/5, 199, 57, , 10, 8, 11
2019/2/6, 110, 31, , 5, 2, 4
2019/2/7, 52, 36, , 13, 6, 6
2019/2/8, 80, 26, , 8, 3, 4
2019/2/9, 66, 43, , 15, 6, 7
2019/2/10, 106, 84, , 16, 7, 12
2019/2/11, 170, 55, , 17, 5, 11
2019/2/12, 122, 50, , 16, 8, 12
2019/2/13, 127, 27, , 13, 4, 6
